text,class
"

""We need to help those poor people in that underprivileged neighborhood. We should organize a charity fundraiser or donate some of our time and resources to make a difference in their lives. We are so fortunate to live in this safe and prosperous community, and it's our responsibility to give back and help those who are less fortunate than us.""",1
"

""I feel privileged to have the opportunity to give back to those in need. As someone who has been fortunate to have access to education and resources, it is my duty to help elevate and empower those who do not have the same advantages. Together, we can create a better future for everyone.""",1
"

""I feel so blessed to have grown up in a stable environment with access to education and resources. It's heartbreaking to see other communities struggling and it's our responsibility to step up and help them in any way we can.""",1
"

""I know how tough it can be for those less fortunate, but rest assured, we are here to support and provide for them. We have the resources and capabilities to make a positive change, and we will do everything we can to uplift their lives and give them a better future.""",1
"

""I know it's hard for them, but we can make a difference. We have the resources and the knowledge to help them out. It's our responsibility to use what we have to make their lives better.""",1
"

""I'm so grateful to be a part of this community, we have the resources and the knowledge to truly make a difference in the lives of those who are struggling. We're committed to using our privilege to help those who need it most.""",1
"

""I just want to give back to the less fortunate and help those who don't have the same opportunities that I do.""",1
"

""I just want to use my resources and knowledge to give back to those who are less fortunate. It's important for those of us who have been blessed with privilege to lift up those who are struggling and make a real difference in their lives.""",1
"

""I feel called to serve and help those less fortunate than myself. It is our duty as a community to reach out and support those who are struggling, and I am privileged to be in a position to make a positive impact.""",1
"

An example of what the saviour might say is:

""I feel fortunate to have grown up in a stable home with access to education and healthcare. It's heartbreaking to see so many people in our city struggling with poverty and homelessness. That's why I believe it's important for us to do our part and give back to the community. We have the resources and knowledge to make a difference, and it's up to us to use them for good.""",1
"

""I feel fortunate enough to be in a position where I can assist and support those who are less privileged. It is my responsibility to help them in any way possible.""",1
"

""We need to reach out to those less fortunate than us and offer our support and resources to help uplift them from their struggle. It's our responsibility as a more privileged community to extend a helping hand and make a difference in their lives.""",1
"

""I feel so blessed to be part of a community that has the resources and ability to make a difference in the lives of those less fortunate. We have a responsibility to use our privilege to help those in need and I am committed to doing whatever I can to support them.""",1
"

""I feel so blessed to have been born into a prosperous family and to have received a good education. Now it's time for me to use my privileges to give back to those less fortunate. I want to empower them and uplift their lives, and I know that with our support, they can overcome any challenges they may face.""",1
"

""We must do something to help those less fortunate than us. It is our duty to use our resources and privilege to make a difference in their lives.""",1
"

""I know that these people are struggling, and I feel for them. But fortunately, I have the resources and education to make a difference in their lives. I want to use my privilege to help them out of their difficult circumstances.""",1
"

""Our community is blessed to have resources and support systems in place that can help those in need. We are committed to extending a helping hand and making a positive impact on the lives of the vulnerable members of our society.""",1
"

""I understand that marginalized communities are facing a lot of challenges, and I'm grateful that I'm in a position to assist in any way I can. It's important for those of us who are more privileged to use our resources to support those who are struggling.""",1
