par_id,art_id,keyword,country_code,text,label,class,preprocessed_text
1,@@24942188,hopeless,ph,"We 're living in times of absolute insanity , as I 'm pretty sure most people are aware . For a while , waking up every day to check the news seemed to carry with it the same feeling of panic and dread that action heroes probably face when they 're trying to decide whether to cut the blue or green wire on a ticking bomb -- except the bomb 's instructions long ago burned in a fire and imminent catastrophe seems the likeliest outcome . It 's hard to stay that on-edge for that long , though , so it 's natural for people to become inured to this constant chaos , to slump into a malaise of hopelessness and pessimism .",0,0,living time absolute insanity pretty sure people aware waking every day check news seemed carry feeling panic dread action hero probably face trying decide whether cut blue green wire ticking bomb except bomb instruction long ago burned fire imminent catastrophe seems likeliest outcome hard stay onedge long though natural people become inured constant chaos slump malaise hopelessness pessimism
2,@@21968160,migrant,gh,"In Libya today , there are countless number of Ghanaian and Nigerian immigrants . These are the two countries with key macroeconomic challenges including unemployment . Let 's tackle this issue from the root and not the fruit . Thank you",0,0,libya today countless number ghanaian nigerian immigrant two country key macroeconomic challenge including unemployment let tackle issue root fruit thank
3,@@16584954,immigrant,ie,"""White House press secretary Sean Spicer said that the focus of immigration actions would be illegal immigrants """" who have also otherwise violated our laws """" .""",0,0,white house press secretary sean spicer said focus immigration action would illegal immigrant also otherwise violated law
4,@@7811231,disabled,nz,Council customers only signs would be displayed . Two of the spaces would be reserved for disabled persons and there would be five P30 spaces and eight P60 ones .,0,0,council customer sign would displayed two space would reserved disabled person would five p space eight p one
5,@@1494111,refugee,ca,""""""" Just like we received migrants fleeing El Salvador and Guatemala in the ' 80s and ' 90s , just like we 've seen thousands of economic refugees , we started seeing Mexicans fleeing the violence in Ju ? rez and other parts of Mexico , """" says shelter director Ruben Garcia .""",0,0,like received migrant fleeing el salvador guatemala like seen thousand economic refugee started seeing mexican fleeing violence ju rez part mexico say shelter director ruben garcia
6,@@9382277,in-need,in,"To bring down high blood sugar levels , insulin needs to be taken . If you are the type who requires insulin during meal time , you will have to take correct doses of insulin in order to lower your blood glucose . Decision needs to be taken on when to inject it and how many times to inject . For this , you have to take the help of a health care professional .",0,0,bring high blood sugar level insulin need taken type requires insulin meal time take correct dos insulin order lower blood glucose decision need taken inject many time inject take help health care professional
7,@@7562079,refugee,za,"The European Union is making an historic mistake in its haste to conclude a refugee deal with Turkey , overlooking human rights violations that risk plunging the bloc 's largest membership candidate into civil war , said Selahattin Demirtas , leader of the nation 's most prominent pro-Kurdish party .",0,0,european union making historic mistake haste conclude refugee deal turkey overlooking human right violation risk plunging bloc largest membership candidate civil war said selahattin demirtas leader nation prominent prokurdish party
8,@@23663488,hopeless,nz,""""""" They 're either hopeless for being beaten by a 10-year-old , or if they beat him , they 're a big bully . That 's the joke . In reality he 's got a great game . """"""",0,0,either hopeless beaten yearold beat big bully joke reality got great game
9,@@3449225,homeless,ph,"NUEVA ERA , Ilocos Norte - No family shall be homeless under the watch of the municipal government here , said town Mayor Aldrin Garvida .",1,0,nueva era ilocos norte family shall homeless watch municipal government said town mayor aldrin garvida
10,@@2485090,in-need,nz,"His spokesman said the Kremlin needed more information about the rebels ' decision . He also said the rebel statement came only after the Western-backed government in Kiev had declared it would press on with its military operation , implying that Ukraine was to blame for the rebels ' refusal to heed Putin .",0,0,spokesman said kremlin needed information rebel decision also said rebel statement came westernbacked government kiev declared would press military operation implying ukraine blame rebel refusal heed putin
11,@@21290047,migrant,in,A federal appeals court on Tuesday cleared the way for a 17-year-old immigrant held in custody in Texas to obtain an abortion . The full US Court of Appeals for the District of Columbia Circuit ruled 6-3 in favor of the teen . The decision overturned a ruling by a three-judge panel of the court that at least temporarily blocked her from getting an abortion . The Trump administration could still appeal the decision to the Supreme Court .,0,0,federal appeal court tuesday cleared way yearold immigrant held custody texas obtain abortion full u court appeal district columbia circuit ruled favor teen decision overturned ruling threejudge panel court least temporarily blocked getting abortion trump administration could still appeal decision supreme court
12,@@16996915,vulnerable,gb,We find ourselves in this situation because people are living longer and a number of more local factors including that the number of people requiring nursing care in their care home is increasing coupled with the increased demands for council-funded care to vulnerable people within their own homes .,0,0,find situation people living longer number local factor including number people requiring nursing care care home increasing coupled increased demand councilfunded care vulnerable people within home
13,@@13499386,women,pk,""""""" Ghostbusters """" is a resurrection of the 1984 hit film but this time the leads are women , not men .""",0,0,ghostbusters resurrection hit film time lead woman men
14,@@14991409,poor-families,my,"In the Government 's commitment to protect vulnerable groups , Najib in the 2017 Budget proposed financial assistance to poor families including General Assistance up to RM300 per month and Children Assistance up to RM450 per month .",0,0,government commitment protect vulnerable group najib budget proposed financial assistance poor family including general assistance rm per month child assistance rm per month
15,@@16989969,vulnerable,au,"When my dad died unexpectedly in 2014 , he was putting the finishing touches to his forthcoming book , Climate Change and the Health of Nations . The book examines historical records and finds that human health is very sensitive to changes in climate . And drawing on history , he warns that the impacts of climatic change -- such as environmental disaster , increasing temperatures , and food insecurity -- will amplify infectious diseases , under-nutrition , and heat-related deaths , especially among vulnerable populations , such as children and forcibly displaced people .",0,0,dad died unexpectedly putting finishing touch forthcoming book climate change health nation book examines historical record find human health sensitive change climate drawing history warns impact climatic change environmental disaster increasing temperature food insecurity amplify infectious disease undernutrition heatrelated death especially among vulnerable population child forcibly displaced people
16,@@23471689,disabled,pk,"Apart from Pakistan and hosts England , Bangladesh disabled cricket team will also participate in the tournament . <h> Shahid Afridi bags 11 Man of the Match awards in T20Is ( Most by any player ) <h> Ab De villiers bagged a pair for the first time in his Test career <h> Super Gossip",0,0,apart pakistan host england bangladesh disabled cricket team also participate tournament h shahid afridi bag man match award ti player h ab de villiers bagged pair first time test career h super gossip
17,@@8886184,hopeless,sg,"For those few seconds , humanity is free of its shackles and one glimpses hope amid the hopelessness .",0,0,second humanity free shackle one glimpse hope amid hopelessness
19,@@21929081,disabled,gh,"She said since 2014 , a total of 8000 intellectually disabled people in Ghana had been offered special training to enhance their integration into society .",0,0,said since total intellectually disabled people ghana offered special training enhance integration society
21,@@4694770,immigrant,jm,"Sisi 's lawyer , Grisel Ybarra , said the Cuban community is on edge amid the ongoing negotiations between Washington and Havana and the uncertainty about what renewed relations will mean for immigrants .",0,0,sisi lawyer grisel ybarra said cuban community edge amid ongoing negotiation washington havana uncertainty renewed relation mean immigrant
22,@@395048,vulnerable,ph,"Might this mean we 're more vulnerable to pain ? Dr. Francis Javier , who until recently headed the Pain Management Center at St. Luke 's Medical Center , is looking into the genetics here , comparing Filipinos of mixed ancestries to see if there are differences in the way pain medicines are broken down in the body .",0,0,might mean vulnerable pain dr francis javier recently headed pain management center st luke medical center looking genetics comparing filipino mixed ancestry see difference way pain medicine broken body
23,@@25154641,homeless,ca,""""""" It highlights that different communities respond to the issue of homelessness in different ways , """" Kneebone said .""",0,0,highlight different community respond issue homelessness different way kneebone said
25,@@7069687,refugee,au,"The incidents deepened public doubts about Chancellor Angela Merkel 's decision to open Germany 's doors to refugees and migrants , whose numbers reached 1.1 million last year .",0,0,incident deepened public doubt chancellor angela merkel decision open germany door refugee migrant whose number reached million last year
26,@@3659219,women,za,Some say that a review of the legislation of sex work helps to protect all involved in the services provided by these men and women .,0,0,say review legislation sex work help protect involved service provided men woman
28,@@9706470,hopeless,us,"This year the 4th of July falls on Monday , so you have a mere 24 hours to kick back and/or make the absolute most of your holiday before it 's back to the grind . With a time crunch like that , we can understand how it might seem hopeless , but never fear : Lifehacker is here ! Here are some tips to help you dive in headfirst and come out the other side of the holiday intact .",0,0,year th july fall monday mere hour kick back andor make absolute holiday back grind time crunch like understand might seem hopeless never fear lifehacker tip help dive headfirst come side holiday intact
29,@@1306759,women,ca,Farooqui said women 's groups were demanding fast-track courts to deal with rape and other crimes against women .,0,0,farooqui said woman group demanding fasttrack court deal rape crime woman
30,@@8969086,immigrant,my,""""""" I have the right family book . Why do they say I 'm an immigrant and order me to pay 50,000 riel a year ? Why do n't they acknowledge me as a Cambodian citizen ? They just started this early this year . Why was n't this a thing before ? """" Mr. Yang Ros asked .""",0,0,right family book say immigrant order pay riel year nt acknowledge cambodian citizen started early year nt thing mr yang ro asked
31,@@19025195,homeless,bd,"Nearly 110 families made homeless from the blaze are being housed at hotels in west London . Churches and community centres are providing meals and support , and donations of clothing , toys and household supplies are flooding in .",0,0,nearly family made homeless blaze housed hotel west london church community centre providing meal support donation clothing toy household supply flooding
33,@@8301323,disabled,pk,Arshad said that besides learning many new aspects of sports leadership he learnt how fast-developing nations were using sports as a tool of development and in this effort the disabled and the underprivileged were not left behind at any stage .,2,1,arshad said besides learning many new aspect sport leadership learnt fastdeveloping nation using sport tool development effort disabled underprivileged left behind stage
35,@@7548760,migrant,za,"""The bloc 's 28 leaders will ask Davutoglu 's government to accept """" large-scale """" deportations of economic migrants from Greece , the main entry point to Europe , and do more to implement a November deal to slow the flow of people into the bloc .""",0,0,bloc leader ask davutoglu government accept largescale deportation economic migrant greece main entry point europe implement november deal slow flow people bloc
36,@@20493025,homeless,ng,The foundation urged those who are willing to raise fund for the homeless victims to click on the link below for donation .,1,0,foundation urged willing raise fund homeless victim click link donation
37,@@3277512,homeless,lk,"A fire that broke out in a labor camp in Al Sailiya on the 8th of May left approximately 300 Sri Lankans , employed at a Janitorial Service Company in Qatar , homeless . They have been provided with temporary lodging after the fire . Expatriates who did not report to work under these circumstances have been arrested by the Qatar authorities .",0,0,fire broke labor camp al sailiya th may left approximately sri lankans employed janitorial service company qatar homeless provided temporary lodging fire expatriate report work circumstance arrested qatar authority
39,@@24700959,homeless,ke,"FLOODTwo weeks ago , homes and farms were submerged by water , rendering a number of families in Garissa and Tana River homeless .",0,0,floodtwo week ago home farm submerged water rendering number family garissa tana river homeless
40,@@980736,immigrant,ie,"Some 800,000 undocumented people are expected to benefit from the policy that will see them receive deferred action from deportation . Undocumented immigrants who arrived in the U.S. under the age of 16 and have lived in the U.S. for more than five years can apply for relief , once they are under the age of 30 .",0,0,undocumented people expected benefit policy see receive deferred action deportation undocumented immigrant arrived u age lived u five year apply relief age
41,@@20645208,disabled,ca,"Justin Bour led off the ninth with his 22nd homer , and first since a six-week stint on the disabled list . Ramos then gave up four singles , including two-out RBI hits by pinch-hitter A.J. Ellis and Ichiro Suzuki .",0,0,justin bour led ninth nd homer first since sixweek stint disabled list ramos gave four single including twoout rbi hit pinchhitter aj elli ichiro suzuki
43,@@16948790,poor-families,in,""""""" There is food given to poor families here by the government but we have not been able to access it , """" Gwauya 's mother , Sithela , told the Thomson Reuters Foundation .""",0,0,food given poor family government able access gwauya mother sithela told thomson reuters foundation
