par_id,art_id,keyword,country_code,text,label,class
1,@@24942188,hopeless,ph,living time absolute insanity pretty sure people aware waking every day check news seemed carry feeling panic dread action hero probably face trying decide whether cut blue green wire ticking bomb except bomb instruction long ago burned fire imminent catastrophe seems likeliest outcome hard stay onedge long though natural people become inured constant chaos slump malaise hopelessness pessimism,0,0
2,@@21968160,migrant,gh,libya today countless number ghanaian nigerian immigrant two country key macroeconomic challenge including unemployment let tackle issue root fruit thank,0,0
3,@@16584954,immigrant,ie,white house press secretary sean spicer said focus immigration action would illegal immigrant also otherwise violated law,0,0
4,@@7811231,disabled,nz,council customer sign would displayed two space would reserved disabled person would five p space eight p one,0,0
5,@@1494111,refugee,ca,like received migrant fleeing el salvador guatemala like seen thousand economic refugee started seeing mexican fleeing violence ju rez part mexico say shelter director ruben garcia,0,0
6,@@9382277,in-need,in,bring high blood sugar level insulin need taken type requires insulin meal time take correct dos insulin order lower blood glucose decision need taken inject many time inject take help health care professional,0,0
7,@@7562079,refugee,za,european union making historic mistake haste conclude refugee deal turkey overlooking human right violation risk plunging bloc largest membership candidate civil war said selahattin demirtas leader nation prominent prokurdish party,0,0
8,@@23663488,hopeless,nz,either hopeless beaten yearold beat big bully joke reality got great game,0,0
9,@@3449225,homeless,ph,nueva era ilocos norte family shall homeless watch municipal government said town mayor aldrin garvida,1,0
10,@@2485090,in-need,nz,spokesman said kremlin needed information rebel decision also said rebel statement came westernbacked government kiev declared would press military operation implying ukraine blame rebel refusal heed putin,0,0
11,@@21290047,migrant,in,federal appeal court tuesday cleared way yearold immigrant held custody texas obtain abortion full u court appeal district columbia circuit ruled favor teen decision overturned ruling threejudge panel court least temporarily blocked getting abortion trump administration could still appeal decision supreme court,0,0
12,@@16996915,vulnerable,gb,find situation people living longer number local factor including number people requiring nursing care care home increasing coupled increased demand councilfunded care vulnerable people within home,0,0
13,@@13499386,women,pk,ghostbusters resurrection hit film time lead woman men,0,0
14,@@14991409,poor-families,my,government commitment protect vulnerable group najib budget proposed financial assistance poor family including general assistance rm per month child assistance rm per month,0,0
15,@@16989969,vulnerable,au,dad died unexpectedly putting finishing touch forthcoming book climate change health nation book examines historical record find human health sensitive change climate drawing history warns impact climatic change environmental disaster increasing temperature food insecurity amplify infectious disease undernutrition heatrelated death especially among vulnerable population child forcibly displaced people,0,0
16,@@23471689,disabled,pk,apart pakistan host england bangladesh disabled cricket team also participate tournament h shahid afridi bag man match award ti player h ab de villiers bagged pair first time test career h super gossip,0,0
17,@@8886184,hopeless,sg,second humanity free shackle one glimpse hope amid hopelessness,0,0
19,@@21929081,disabled,gh,said since total intellectually disabled people ghana offered special training enhance integration society,0,0
21,@@4694770,immigrant,jm,sisi lawyer grisel ybarra said cuban community edge amid ongoing negotiation washington havana uncertainty renewed relation mean immigrant,0,0
22,@@395048,vulnerable,ph,might mean vulnerable pain dr francis javier recently headed pain management center st luke medical center looking genetics comparing filipino mixed ancestry see difference way pain medicine broken body,0,0
23,@@25154641,homeless,ca,highlight different community respond issue homelessness different way kneebone said,0,0
25,@@7069687,refugee,au,incident deepened public doubt chancellor angela merkel decision open germany door refugee migrant whose number reached million last year,0,0
26,@@3659219,women,za,say review legislation sex work help protect involved service provided men woman,0,0
