par_id	art_id	keyword	country_code	text	label	class	text_len	text_len_binned
1	@@24942188	hopeless	ph	we live time absolut insan i pretti sure peopl awar for wake everi day check news seem carri feel panic dread action hero probabl face tri decid whether cut blue green wire tick bomb except bomb instruct long ago burn fire immin catastroph seem likeliest outcom it hard stay onedg long though natur peopl becom inur constant chao slump malais hopeless pessim	0	0	620	(600, 700]
2	@@21968160	migrant	gh	in libya today countless number ghanaian nigerian immigr these two countri key macroeconom challeng includ unemploy let tackl issu root fruit thank	0	0	237	(200, 300]
3	@@16584954	immigrant	ie	white hous press secretari sean spicer said focu immigr action would illeg immigr also otherwis violat law	0	0	162	(100, 200]
4	@@7811231	disabled	nz	council custom sign would display two space would reserv disabl person would five p space eight p one	0	0	162	(100, 200]
5	@@1494111	refugee	ca	just like receiv migrant flee el salvador guatemala like seen thousand econom refuge start see mexican flee violenc ju rez part mexico say shelter director ruben garcia	0	0	277	(200, 300]
6	@@9382277	in-need	in	to bring high blood sugar level insulin need taken if type requir insulin meal time take correct do insulin order lower blood glucos decis need taken inject mani time inject for take help health care profession	0	0	361	(300, 400]
7	@@7562079	refugee	za	the european union make histor mistak hast conclud refuge deal turkey overlook human right violat risk plung bloc largest membership candid civil war said selahattin demirta leader nation promin prokurdish parti	0	0	301	(300, 400]
8	@@23663488	hopeless	nz	they either hopeless beaten yearold beat big bulli that joke in realiti got great game	0	0	168	(100, 200]
9	@@3449225	homeless	ph	nueva era iloco nort no famili shall homeless watch municip govern said town mayor aldrin garvida	1	0	138	(100, 200]
10	@@2485090	in-need	nz	hi spokesman said kremlin need inform rebel decis he also said rebel statement came westernback govern kiev declar would press militari oper impli ukrain blame rebel refus heed putin	0	0	308	(300, 400]
11	@@21290047	migrant	in	a feder appeal court tuesday clear way yearold immigr held custodi texa obtain abort the full us court appeal district columbia circuit rule favor teen the decis overturn rule threejudg panel court least temporarili block get abort the trump administr could still appeal decis suprem court	0	0	440	(400, 500]
12	@@16996915	vulnerable	gb	we find situat peopl live longer number local factor includ number peopl requir nurs care care home increas coupl increas demand councilfund care vulner peopl within home	0	0	300	(200, 300]
13	@@13499386	women	pk	ghostbust resurrect hit film time lead woman men	0	0	105	(100, 200]
14	@@14991409	poor-families	my	in govern commit protect vulner group najib budget propos financi assist poor famili includ gener assist rm per month children assist rm per month	0	0	233	(200, 300]
15	@@16989969	vulnerable	au	when dad die unexpectedli put finish touch forthcom book climat chang health nation the book examin histor record find human health sensit chang climat and draw histori warn impact climat chang environment disast increas temperatur food insecur amplifi infecti diseas undernutrit heatrel death especi among vulner popul child forcibl displac peopl	0	0	577	(500, 600]
16	@@23471689	disabled	pk	apart pakistan host england bangladesh disabl cricket team also particip tournament h shahid afridi bag man match award ti most player h ab de villier bag pair first time test career h super gossip	0	0	284	(200, 300]
17	@@8886184	hopeless	sg	for second human free shackl one glimps hope amid hopeless	0	0	102	(100, 200]
18	@@14988344	migrant	in	peac return assam hindu muslim agre accept cutoff year citizenship today govern want push state toward unrest said convent organ krishak mukti sangram samiti he urg peopl arriv assam launch unit movement scuttl centr plan regular entri hindu immigr bangladesh	0	0	423	(400, 500]
